,id,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews
26601,9944860,Manhattan,Lower East Side,Entire home/apt,150.0,30,174
26602,1168612036616137137,Brooklyn,Carroll Gardens,Entire home/apt,228.0,30,0
26603,919383845592883891,Brooklyn,Bedford-Stuyvesant,Entire home/apt,212.0,5,39
26604,564602702188075826,Queens,Long Island City,Entire home/apt,662.0,1,120
26605,54146364,Brooklyn,Williamsburg,Entire home/apt,125.0,30,12
26606,1155719449518235785,Brooklyn,Crown Heights,Entire home/apt,729.0,2,1
26607,50669306,Manhattan,Hell's Kitchen,Entire home/apt,180.0,30,12
26609,1188152660591876033,Manhattan,Hell's Kitchen,Entire home/apt,329.0,30,0
26610,811520842318764028,Manhattan,Murray Hill,Entire home/apt,413.0,31,0
26611,1191032454787741651,Manhattan,Upper East Side,Entire home/apt,180.0,30,0
26612,824158611517383045,Manhattan,Upper East Side,Entire home/apt,116.0,30,0
26614,8704528,Brooklyn,Red Hook,Private room,65.0,1,458
26615,730397424509623614,Queens,Long Island City,Private room,164.0,30,21
26616,1157373408782735382,Brooklyn,Williamsburg,Private room,139.0,4,16
26617,13606307,Brooklyn,East Flatbush,Entire home/apt,190.0,2,133
26618,979045197515800591,Brooklyn,Bedford-Stuyvesant,Private room,46.0,30,3
26619,14359772,Brooklyn,Bedford-Stuyvesant,Private room,60.0,30,244
26620,42868661,Manhattan,Hell's Kitchen,Entire home/apt,426.0,31,0
26621,773100393141445120,Manhattan,East Harlem,Private room,96.0,30,0
26623,5944801,Manhattan,Harlem,Entire home/apt,307.0,30,68
26624,9178165,Manhattan,East Harlem,Private room,74.0,30,451
26625,32701542,Queens,Sunnyside,Entire home/apt,108.0,30,92
26626,773726954569381317,Manhattan,Morningside Heights,Private room,120.0,30,1
26628,637634357376846351,Brooklyn,Crown Heights,Entire home/apt,300.0,30,5
26629,1142681820200998913,Brooklyn,Crown Heights,Entire home/apt,704.0,30,0
26630,47468531,Brooklyn,Crown Heights,Private room,38.0,90,0
26631,563719467035680846,Queens,Long Island City,Entire home/apt,659.0,1,80
26632,866204046810136699,Manhattan,Morningside Heights,Private room,125.0,30,10
26639,53653438,Manhattan,East Harlem,Entire home/apt,286.0,30,15
26640,886061767138016884,Brooklyn,Gowanus,Entire home/apt,99.0,30,1
26641,793305971249108991,Manhattan,Murray Hill,Entire home/apt,381.0,31,1
26642,12135851,Brooklyn,Crown Heights,Entire home/apt,175.0,30,58
26643,1190417717213226689,Manhattan,Financial District,Entire home/apt,334.0,30,0
26644,9064714,Queens,Long Island City,Private room,90.0,3,40
26645,1157978341548890561,Brooklyn,Williamsburg,Private room,116.0,3,11
26646,46540786,Manhattan,Upper West Side,Entire home/apt,501.0,31,0
26648,45581435,Manhattan,Upper East Side,Entire home/apt,271.0,30,0
26649,17759478,Brooklyn,Bedford-Stuyvesant,Private room,60.0,30,162
26650,563687425156513173,Queens,Long Island City,Entire home/apt,237.0,1,262
